"PROG","NORD","ISTAT","NOME","DUG_CER","DENOM_CER","CIVICO_CER","SUFF_CER","COMUNE_CER","PROV_CER","DUG_TROVAT","DENOM_TROV","CIVIC_TROV","SUFF_TROV","COM_TROV","PROV_TROV","X","Y","lat","long"
718,"2316.000000","37002.000000","Chiesa e Complesso Parrocchiale dei SS. Filippo e Giacomo di Casadio","Via","Casadio","30.000000",,"Argelato","Bologna","VIA","CASADIO","30.000000",,"ARGELATO","BOLOGNA","684908.268046","4943031.622267","44.6168568431865","11.3306064898255"
918,"2603.000000","37002.000000","Cimitero di Casadio","Via","Casadio","37.000000",2,"Argelato","Bologna","VIA","CASADIO","37.000000",2,"ARGELATO","BOLOGNA","685058.149112","4943048.502250","44.6169701251295","11.3325001313844"
915,"2600.000000","37002.000000","Palazzo gi Zambeccari e Parco detto Villa Beatrice - Biblioteca comunale - Teatro comunale","Via","degli Aceri","12.000000",,"Argelato","Bologna","VIA","DEGLI ACERI","12.000000",,"ARGELATO","BOLOGNA","685830.431111","4945665.145298","44.6403076189784","11.3431732611274"
916,"2601.000000","37002.000000","Palazzo del Municipio","Via","Argelati","4.000000",,"Argelato","Bologna","VIA","ARGELATI","4.000000",,"ARGELATO","BOLOGNA","686177.794037","4945897.349299","44.6423063573317","11.3476338424761"
1475,"8014.000000","37002.000000","Oratorio della Parrocchia di San Michele Arcangelo","Viale","Centese","100.000000",,"Argelato","Bologna","VIA","CENTESE","100.000000",,"ARGELATO","BOLOGNA","686266.229057","4945957.920261","44.6428282670895","11.3487700368367"
917,"2602.000000","37002.000000","Cimitero di Funo","Via","Funo","22.000000",,"Argelato","Bologna","VIA","FUNO","22.000000",,"ARGELATO","BOLOGNA","687388.706035","4941288.939238","44.6005395402481","11.3612084392322"
719,"2317.000000","37002.000000","Chiesa e complesso parrocchiale  dei SS.Nicol e Petronio di Funo","Via","Funo","14.000000",,"Argelato","Bologna","VIA","FUNO","14.000000",,"ARGELATO","BOLOGNA","687419.199083","4941265.698232","44.6003225477609","11.3615838713825"
1449,"7504.000000","37002.000000","Chiesolino del Savignano","Via","Lame","0.000000",,"Argelato","Bologna","VIA","LAME","0.000000",,"ARGELATO","BOLOGNA","682917.767112","4944940.703492","44.6345385123974","11.3062185228352"
487,"2001.000000","38001.000000","Chiesa parrocchiale di S. Maria Maddalena","Via","Fascinata","15.000000",,"Argenta","Ferrara","VIA","FASCINATA","15.000000",,"ARGENTA","FERRARA","709784.664202","4949012.310932","44.6638148765047","11.6462837375092"
2188,"10520.000000","38001.000000","Villa Vincenzi Pasi e Colombaia","Via","Fascinata","172.000000",,"Argenta","Ferrara","VIA","FASCINATA","172.000000",,"ARGENTA","FERRARA","710228.325524","4949779.487412","44.6705841742190","11.6521890364610"
2189,"10521.000000","38001.000000","Complesso edilizio rurale ?La Corte?","Via","Zenzalino","136.000000",,"Argenta","Ferrara","VIA","ZENZALINO","136.000000",,"ARGENTA","FERRARA","713856.742478","4950032.988033","44.6717920004229","11.6980199108206"
493,"2008.000000","38001.000000","Chiesa parrocchiale di San Bartolomeo Apostolo","Piazza","Gustavo Bianchi","4.000000",,"Argenta","Ferrara","PIAZZA","BIANCHI Gustavo","4.000000",,"ARGENTA","FERRARA","714121.392699","4949514.869393","44.6670539602997","11.7011384819190"
1931,"9621.000000","38001.000000","Ospedale ""Mazzolani Vandini""","Via","Nazionale","5.000000",,"Argenta","Ferrara","VIA","NAZIONALE","5.000000",,"ARGENTA","FERRARA","714147.302441","4955264.256468","44.7187469198700","11.7038713165569"
665,"2255.000000","38001.000000","Chiesa parrocchiale e canonica di S. Zeno chiesa con campanile","Via","di Mezzo","1.000000",,"Argenta","Ferrara","VIA","DI MEZZO","1.000000",,"ARGENTA","FERRARA","720137.156337","4948301.834844","44.6543272094749","11.7764185963117"
1080,"2894.000000","38001.000000","Chiesa Beata Vergine Immacolata-chiesa con campanile","Piazza","dei Caduti","3.000000",,"Argenta","Ferrara","PIAZZA","DEI CADUTI PARTIGIANI","0.000000",,"ARGENTA","FERRARA","721884.818066","4939251.508598","44.5724107387548","11.7945259675425"
490,"2004.000000","38001.000000","Chiesa parrocchiale di S. Giovanni Battista","Via","Valletta","21.000000",,"Argenta","Ferrara","VIA","VALLETTA","0.000000",,"ARGENTA","FERRARA","739434.399159","4941502.415479","44.5870276713842","12.0163071732637"
1794,"9755.000000","38001.000000","Casa di guardia (ex) Martelli","Via","Morgone","11.000000",,"Argenta","Ferrara","VIA","MORGONE","0.000000",,"ARGENTA","FERRARA","715425.932543","4946380.392723","44.6384774271277","11.7162598686396"
664,"2254.000000","38001.000000","Chiesa parrocchiale della Nativit di Maria SS. e campanile","Via","Pozza Androna","0.000000",,"Argenta","Ferrara","STRADA","DELLA POZZA","0.000000",,"ARGENTA","FERRARA","708648.732315","4951291.531999","44.6846427381720","11.6328984570934"
